shop,shop_url,website,category,est_annual_sales_k,years_active,ratio_per_year
Express3DCustoms,https://www.etsy.com/shop/Express3DCustoms,,lego wall mounts and other,3.4,1.5,2266
HobbyPilled,https://www.etsy.com/shop/HobbyPilled,,skadis and plant related,13.8,6.0,2300
JASFDesign,https://www.etsy.com/shop/JASFDesign,,wal mounts for lego,11.8,5.0,2360
RedFive3D,https://www.etsy.com/shop/RedFive3D,,sci fi props and supports,2.4,1.0,2400
EternaDecor,https://www.etsy.com/shop/EternaDecor,,deco,2.0,0.8,2500
ByLastLight,https://www.etsy.com/shop/ByLastLight,,helmet mounts and lamps,7.6,3.0,2533
PrintingSmarter,https://www.etsy.com/shop/PrintingSmarter,,ikea,10.5,4.0,2625
MBConception,https://www.etsy.com/shop/MBConception,,,2.4,0.9,2666
CentrionStudio,https://www.etsy.com/shop/CentrionStudio,,tabletop in fdm,8.2,3.0,2733
Hox3D,https://www.etsy.com/shop/Hox3D,,wall mounts for lego,11.2,4.0,2800
HoneycrispLabs,https://www.etsy.com/shop/HoneycrispLabs,,light switches,2.9,1.0,2900
RelyefPotteryTools,https://www.etsy.com/shop/RelyefPotteryTools,,tools for ceramics,20.8,7.0,2971
VIZKODesign,https://www.etsy.com/shop/VIZKODesign,,supports,3.0,1.0,3000
PrinenShop,https://www.etsy.com/shop/PrinenShop,,deco,6.2,2.0,3100
Trella3DPrints,https://www.etsy.com/shop/Trella3DPrints,,desk mounts,12.5,4.0,3125
lousbrews,https://www.etsy.com/shop/lousbrews,,tool holders,2.2,0.7,3142
TechnicallyBuilt,https://www.etsy.com/shop/TechnicallyBuilt,,wall mounts for lego,6.3,2.0,3150
PDCustomsUK,https://www.etsy.com/shop/PDCustomsUK,,,28.1,8.0,3512
OverlandEngineering,https://www.etsy.com/shop/OverlandEngineering,,car,11.1,3.0,3700
my3dbase,https://www.etsy.com/shop/my3dbase,,,34.2,9.0,3800
VibratoVault,https://www.etsy.com/shop/VibratoVault,,audio related,3.2,0.8,4000
Houseofdavinci,https://www.etsy.com/shop/Houseofdavinci,,,0.4,0.1,4000
WeBe3DPrinting,https://www.etsy.com/shop/WeBe3DPrinting,,toys and deco random,6.0,1.5,4000
ChickaDoodlez,https://www.etsy.com/shop/ChickaDoodlez,,vial holders,3.3,0.8,4125
RosebudHomeGoods,https://www.etsy.com/shop/RosebudHomeGoods,,,23.7,5.0,4740
SaninUndJuli3D,https://www.etsy.com/shop/SaninUndJuli3D,,,4.9,1.0,4900
Creative3DByBen,https://www.etsy.com/shop/Creative3DByBen,,planters and other,21.8,4.0,5450
LEDBFG,https://www.etsy.com/shop/LEDBFG,,props,38.8,7.0,5542
LignumAndLight,https://www.etsy.com/shop/LignumAndLight,,skadis,13.9,2.5,5560
McMaster3D,https://www.etsy.com/shop/McMaster3D,,extremely varied products,40.5,7.0,5785
TechConnext,https://www.etsy.com/shop/TechConnext,,hot wheels,23.6,4.0,5900
RogueHomeDesign,https://www.etsy.com/shop/RogueHomeDesign,,various,36.1,6.0,6016
