shop,shop_url,website,category
NewGroundDesigns,https://www.etsy.com/shop/NewGroundDesigns,,holders and organisers
Allen3DPrintingHouse,https://www.etsy.com/shop/Allen3DPrintingHouse,,
LoonarCreative,https://www.etsy.com/shop/LoonarCreative,,for geeks
DoublePlusThink,https://www.etsy.com/shop/DoublePlusThink,,
LifeHackProducts,https://www.etsy.com/shop/LifeHackProducts,,ikea and bookshelves
3DPrintersaur,https://www.etsy.com/shop/3DPrintersaur,,fidgets
XOHODesign,https://www.etsy.com/shop/XOHODesign,,ikea and small holders
3DDesignSupply,https://www.etsy.com/shop/3DDesignSupply,,various wall heads
AuraPrintDE,https://www.etsy.com/shop/AuraPrintDE,,
Filamentality3D,https://www.etsy.com/shop/Filamentality3D,,
EnigmaticProps,https://www.etsy.com/shop/EnigmaticProps,,
DSDesignLV,https://www.etsy.com/shop/DSDesignLV,,acoustic panel supports and design stuff
ScaleMax,https://www.etsy.com/shop/ScaleMax,,skadis
FALichtundHolzdesign,https://www.etsy.com/shop/FALichtundHolzdesign,,hooks
OptimumSolutions,https://www.etsy.com/shop/OptimumSolutions,,car
LilCreativeFamily,https://www.etsy.com/shop/LilCreativeFamily,,
Parkers3DPrintsShop,https://www.etsy.com/shop/Parkers3DPrintsShop,,
WheelerCC,https://www.etsy.com/shop/WheelerCC,,
lgonrd,https://www.etsy.com/shop/lgonrd,,wall supports for mini figs
Priscillaprintpalace,https://www.etsy.com/shop/Priscillaprintpalace,,vial cases
LaunchpadDesign,https://www.etsy.com/shop/LaunchpadDesign,,fidgets with magnets
TLPrintEngraving,https://www.etsy.com/shop/TLPrintEngraving,,
ClassifiedDesign,https://www.etsy.com/shop/ClassifiedDesign,,one wheel stands
Bulldog3DStudio,https://www.etsy.com/shop/Bulldog3DStudio,,vial and holders
Carat3dCreations,https://www.etsy.com/shop/Carat3dCreations,,cosplay props
Breslauu3D,https://www.etsy.com/shop/Breslauu3D,,ikea and random holders
DeadOnWorkshop,https://www.etsy.com/shop/DeadOnWorkshop,,tool holders
ColdEarthIndustries,https://www.etsy.com/shop/ColdEarthIndustries,,laptop stands
Haole3DDesigns,https://www.etsy.com/shop/Haole3DDesigns,,keychains and tags n such
ClearChoiceAquatics,https://www.etsy.com/shop/ClearChoiceAquatics,,mostly aquarium related
CustomAutopartsLLC,https://www.etsy.com/shop/CustomAutopartsLLC,,car
WAV3DCreations,https://www.etsy.com/shop/WAV3DCreations,,
Garage3DPrint,https://www.etsy.com/shop/Garage3DPrint,,drawer inserts
3DPSolver,https://www.etsy.com/shop/3DPSolver,,skadis
DRCPrints,https://www.etsy.com/shop/DRCPrints,,
VarietyBySKL,https://www.etsy.com/shop/VarietyBySKL,,wall plates and spacers
TilloLabsStore,https://www.etsy.com/shop/TilloLabsStore,,desk stuff
TheWhitePawPrints,https://www.etsy.com/shop/TheWhitePawPrints,,
CraftyHubDE,https://www.etsy.com/shop/CraftyHubDE,,
PrintMyTools,https://www.etsy.com/shop/PrintMyTools,,
DetailArtFactory,https://www.etsy.com/shop/DetailArtFactory,,skadis for painting and tabletop
PrintItThreeDee,https://www.etsy.com/shop/PrintItThreeDee,,
smartshapes3Dstudio,https://www.etsy.com/shop/smartshapes3Dstudio,,skadis
PlasTechSolutions,https://www.etsy.com/shop/PlasTechSolutions,,
JDand3Designs,https://www.etsy.com/shop/JDand3Designs,,mounts
TinInsertCo,https://www.etsy.com/shop/TinInsertCo,,pill holders
NoOrdinaryLeaf,https://www.etsy.com/shop/NoOrdinaryLeaf,,
ModItDesign,https://www.etsy.com/shop/ModItDesign,,bike and skadis
FlexiFidgetsCo,https://www.etsy.com/shop/FlexiFidgetsCo,,flexi and fidgets
CeksaFabrication,https://www.etsy.com/shop/CeksaFabrication,,altoid inserts?!
Kladis3DStudio,https://www.etsy.com/shop/Kladis3DStudio,,fidget
lalacutters,https://www.etsy.com/shop/lalacutters,,clay cutters
Page3dTools,https://www.etsy.com/shop/Page3dTools,,tool holders
JungleSpaceship,https://www.etsy.com/shop/JungleSpaceship,,plant looking handles
Valor3D,https://www.etsy.com/shop/Valor3D,,car
ConfettiPrinting,https://www.etsy.com/shop/ConfettiPrinting,,cute toys
CryptidsAndClover,https://www.etsy.com/shop/CryptidsAndClover,,
TheCutterfly,https://www.etsy.com/shop/TheCutterfly,,cutters
Alice3DTreasures,https://www.etsy.com/shop/Alice3DTreasures,,toys and deco
FluffyHelpersStore,https://www.etsy.com/shop/FluffyHelpersStore,,various stands
MaricreaSwiss,https://www.etsy.com/shop/MaricreaSwiss,,small hangers
HighByDesign,https://www.etsy.com/shop/HighByDesign,,themed organisers
HappyTappyShop,https://www.etsy.com/shop/HappyTappyShop,,halloween!
TheSpiritDesignCo,https://www.etsy.com/shop/TheSpiritDesignCo,,deco
MikesThingamajigs,https://www.etsy.com/shop/MikesThingamajigs,,skadis and ikea stuff
EasyClayTools,https://www.etsy.com/shop/EasyClayTools,,tools for ceramics
MadSunshineCreations,https://www.etsy.com/shop/MadSunshineCreations,,controller stands
NautolithCrafts,https://www.etsy.com/shop/NautolithCrafts,,custom name shit
USACUTTIE,https://www.etsy.com/shop/USACUTTIE,,pill holders
PhantomFidgets,https://www.etsy.com/shop/PhantomFidgets,,fidgets and magnets
Integrity3Designs,https://www.etsy.com/shop/Integrity3Designs,,skadis and sewing
GeekyThingsUK,https://www.etsy.com/shop/GeekyThingsUK,,
InGearDesign,https://www.etsy.com/shop/InGearDesign,,car
ALTO3DSHOP,https://www.etsy.com/shop/ALTO3DSHOP,,adaptors
3DPrintingWizardry,https://www.etsy.com/shop/3DPrintingWizardry,,various props and head mounts
CreativePlasticsShop,https://www.etsy.com/shop/CreativePlasticsShop,,minecraft themed light switches
TwistedDesignUSA,https://www.etsy.com/shop/TwistedDesignUSA,,deco
CosmicForce3DPrints,https://www.etsy.com/shop/CosmicForce3DPrints,,toy and related
WildAssPrints,https://www.etsy.com/shop/WildAssPrints,,random
EGOMounts,https://www.etsy.com/shop/EGOMounts,,mounts
Makearoni,https://www.etsy.com/shop/Makearoni,,toy and hotwheels
TheOwlchemyNest,https://www.etsy.com/shop/TheOwlchemyNest,,
GalaxyGames3dPrints,https://www.etsy.com/shop/GalaxyGames3dPrints,,toy and nerd dnd
Boom3DDesigns,https://www.etsy.com/shop/Boom3DDesigns,,skadis
TinkerMakerAU,https://www.etsy.com/shop/TinkerMakerAU,,stands and bookcase stuff
KoolTools,https://www.etsy.com/shop/KoolTools,,tools for ceramics
